"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","2","Command line suite","Command line test","ui.wikipedia.WikipediaTest","ui.wikipedia.WikipediaTest","wikiCheckLanguages","wikiCheckLanguages",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","1","Command line suite","Command line test","ui.wikipedia.WikipediaTest","ui.wikipedia.WikipediaTest","wikiCheckLanguages","wikiCheckLanguages",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","0","Command line suite","Command line test","learn.tasks.task4.TestTask4","learn.tasks.task4.TestTask4","compareArrays","compareArrays",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","1","Command line suite","Command line test","learn.unit.CalculatorTest","learn.unit.CalculatorTest","testGetMultiplication","testGetMultiplication",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","0","Command line suite","Command line test","ui.wikipedia.WikipediaTest","ui.wikipedia.WikipediaTest","wikiCheckLanguages","wikiCheckLanguages",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","0","Command line suite","Command line test","ui.wikipedia.WikipediaTest","ui.wikipedia.WikipediaTest","wikiCheckLanguages","wikiCheckLanguages",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","0","Command line suite","Command line test","learn.unit.CalculatorTest","learn.unit.CalculatorTest","testGetSubtraction","testGetSubtraction",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","1","Command line suite","Command line test","ui.wikipedia.WikipediaTest","ui.wikipedia.WikipediaTest","wikiCheckLanguages","wikiCheckLanguages",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","1","Command line suite","Command line test","learn.package_2.Test6","learn.package_2.Test6","test1","test1",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","0","Command line suite","Command line test","learn.package_2.Test6_1","learn.package_2.Test6_1","test2","test2",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","1","Command line suite","Command line test","learn.package_2.Test8","learn.package_2.Test8","test1","test1",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","0","Command line suite","Command line test","ui.wikipedia.WikipediaTest","ui.wikipedia.WikipediaTest","wikiCheckLanguages","wikiCheckLanguages",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","1","Command line suite","Command line test","ui.google.GoogleSearchTest","ui.google.GoogleSearchTest","checkGoogleSearchResult","checkGoogleSearchResult",""
"broken","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","0","Command line suite","Command line test","ui.google_sheet.GoogleSheetTest","ui.google_sheet.GoogleSheetTest","checkGoogleSearchResult","checkGoogleSearchResult",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","0","Command line suite","Command line test","learn.unit.CalculatorTest","learn.unit.CalculatorTest","testSum","testSum",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","0","Command line suite","Command line test","ui.wikipedia.WikipediaTest","ui.wikipedia.WikipediaTest","wikiCheckLanguages","wikiCheckLanguages",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","0","Command line suite","Command line test","ui.wikipedia.WikipediaTest","ui.wikipedia.WikipediaTest","wikiCheckLanguages","wikiCheckLanguages",""
"skipped","Wed Dec 28 23:22:05 GMT 2022","Wed Dec 28 23:22:05 GMT 2022","0","Command line suite","Command line test","learn.package_2.Test6_1","learn.package_2.Test6_1","test1","test1",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","1","Command line suite","Command line test","ui.cita2.CitaTest","ui.cita2.CitaTest","testCitaIsAvailable","testCitaIsAvailable",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","0","Command line suite","Command line test","ui.tau.SeleniumTest","ui.tau.SeleniumTest","openGoogleAndSearch","openGoogleAndSearch",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","0","Command line suite","Command line test","ui.wikipedia.WikipediaTest","ui.wikipedia.WikipediaTest","wikiCheckLanguages","wikiCheckLanguages",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","0","Command line suite","Command line test","learn.package_2.Test7","learn.package_2.Test7","test1","test1",""
"broken","Wed Dec 28 23:22:05 GMT 2022","Wed Dec 28 23:22:05 GMT 2022","1","Command line suite","Command line test","ui.tau.SeleniumTest","ui.tau.SeleniumTest","setUp","setUp",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","7","Command line suite","Command line test","learn.unit.CalculatorTest","learn.unit.CalculatorTest","testGetDivision","testGetDivision",""
"skipped","Wed Dec 28 23:22:06 GMT 2022","Wed Dec 28 23:22:06 GMT 2022","1","Command line suite","Command line test","ui.wikipedia.WikipediaTest","ui.wikipedia.WikipediaTest","wikiCheckLanguages","wikiCheckLanguages",""
